Sample,Taxon,Table,Count
I1P2,Drosophila_melanogaster,above,2370
I1P2,Drosophila_simulans,above,616
I1P2,Lysiphlebus_testaceipes,above,1773
I1P2,Metopolophium_dirhodum,above,85
I1P2,Psyllid_sp,above,12181
I1P2,Rhopalosiphum_padi,above,1166
I1P2,Scaptodrosophila_lativittata,above,57
D1P2,Acizzia_alternata,above,12771
D1P2,Acizzia_solanicola,above,27560
D1P2,Aphidius_colemani,above,40449
D1P2,Bactrocera_tryoni,above,1180
D1P2,Bradysia_ocellaris,above,0
D1P2,Carpophilus_davidsoni,above,23112
D1P2,Carpophilus_dimidiatus,above,7229
D1P2,Diuraphis_noxia,above,38
D1P2,Drosophila_hydeii,above,1119
D1P2,Drosophila_melanogaster,above,3990
D1P2,Drosophila_simulans,above,655
D1P2,Lysiphlebus_testaceipes,above,4999
D1P2,Metopolophium_dirhodum,above,121
D1P2,Psyllid_sp,above,10751
D1P2,Rhopalosiphum_padi,above,693
D1P2,Scaptodrosophila_lativittata,above,1050
PCRpool1P2,Acizzia_alternata,above,1798
PCRpool1P2,Acizzia_solanicola,above,14333
PCRpool1P2,Aphidius_colemani,above,55676
PCRpool1P2,Bactrocera_tryoni,above,1882
PCRpool1P2,Bradysia_ocellaris,above,0
PCRpool1P2,Carpophilus_davidsoni,above,29470
PCRpool1P2,Carpophilus_dimidiatus,above,1203
PCRpool1P2,Diuraphis_noxia,above,787
PCRpool1P2,Drosophila_hydeii,above,1639
PCRpool1P2,Drosophila_melanogaster,above,7427
PCRpool1P2,Drosophila_simulans,above,2860
PCRpool1P2,Lysiphlebus_testaceipes,above,9944
PCRpool1P2,Metopolophium_dirhodum,above,1008
PCRpool1P2,Psyllid_sp,above,3664
PCRpool1P2,Rhopalosiphum_padi,above,1648
PCRpool1P2,Scaptodrosophila_lativittata,above,1413
I2P2,Acizzia_alternata,above,18862
I2P2,Acizzia_solanicola,above,588644
I2P2,Aphidius_colemani,above,519
I2P2,Bactrocera_tryoni,above,1503
I2P2,Bradysia_ocellaris,above,0
I2P2,Carpophilus_davidsoni,above,41240
I2P2,Carpophilus_dimidiatus,above,12876
I2P2,Diuraphis_noxia,above,204
I2P2,Drosophila_hydeii,above,985
I2P2,Drosophila_melanogaster,above,1938
I2P2,Drosophila_simulans,above,2225
I2P2,Lysiphlebus_testaceipes,above,0
I2P2,Metopolophium_dirhodum,above,416
I2P2,Psyllid_sp,above,7663
I2P2,Rhopalosiphum_padi,above,1240
I2P2,Scaptodrosophila_lativittata,above,375
D2P2,Acizzia_alternata,above,11123
D2P2,Acizzia_solanicola,above,68223
D2P2,Aphidius_colemani,above,5102
D2P2,Bactrocera_tryoni,above,1299
D2P2,Bradysia_ocellaris,above,0
D2P2,Carpophilus_davidsoni,above,36766
D2P2,Carpophilus_dimidiatus,above,6428
D2P2,Diuraphis_noxia,above,70
D2P2,Drosophila_hydeii,above,909
D2P2,Drosophila_melanogaster,above,7202
D2P2,Drosophila_simulans,above,523
D2P2,Lysiphlebus_testaceipes,above,0
D2P2,Metopolophium_dirhodum,above,102
D2P2,Psyllid_sp,above,9032
D2P2,Rhopalosiphum_padi,above,604
D2P2,Scaptodrosophila_lativittata,above,897
