Sample,Taxon,Count,Observed,Expected,Num_species
D7P1,Bactrocera_tryoni,863,0.429327602,0.00990099,16
D7P1,Bradysia_ocellaris,526,0.26167592,0.00990099,16
D7P1,Carpophilus_davidsoni,533,0.265158299,0.04950495,16
D7P1,Carpophilus_dimidiatus,7770,3.865440869,0.00990099,16
D7P1,Diuraphis_noxia,23,0.011442103,0.00990099,16
D7P1,Drosophila_hydeii,393,0.195510716,0.00990099,16
D7P1,Drosophila_melanogaster,52726,26.23027481,0.247524752,16
D7P1,Drosophila_simulans,662,0.329333572,0.00990099,16
D7P1,Lysiphlebus_testaceipes,318,0.15819951,0.00990099,16
D7P1,Metopolophium_dirhodum,24,0.011939586,0.00990099,16
D7P1,Psyllid_sp,1330,0.661652041,0.00990099,16
D7P1,Rhopalosiphum_padi,165,0.082084652,0.00990099,16
D7P1,Scaptodrosophila_lativittata,857,0.426342706,0.00990099,16
PCRpool7P1,Acizzia_alternata,1065,0.682530425,0.00990099,16
PCRpool7P1,Acizzia_solanicola,77726,49.81254446,0.495049505,16
PCRpool7P1,Aphidius_colemani,18157,11.63634266,0.089108911,16
PCRpool7P1,Bactrocera_tryoni,764,0.48962746,0.00990099,16
PCRpool7P1,Bradysia_ocellaris,1028,0.658818101,0.00990099,16
PCRpool7P1,Carpophilus_davidsoni,2370,1.518870524,0.04950495,16
PCRpool7P1,Carpophilus_dimidiatus,1276,0.817754763,0.00990099,16
PCRpool7P1,Diuraphis_noxia,733,0.469760377,0.00990099,16
PCRpool7P1,Drosophila_hydeii,1621,1.038856169,0.00990099,16
PCRpool7P1,Drosophila_melanogaster,22851,14.64460352,0.247524752,16
PCRpool7P1,Drosophila_simulans,22385,14.34595641,0.00990099,16
PCRpool7P1,Lysiphlebus_testaceipes,0,0,0.00990099,16
PCRpool7P1,Metopolophium_dirhodum,833,0.533847741,0.00990099,16
PCRpool7P1,Psyllid_sp,1812,1.161263034,0.00990099,16
PCRpool7P1,Rhopalosiphum_padi,1353,0.867102033,0.00990099,16
PCRpool7P1,Scaptodrosophila_lativittata,2063,1.322122317,0.00990099,16
I8P1,Acizzia_alternata,138424,23.29750672,0.01,15
I8P1,Acizzia_solanicola,225881,38.01699211,0.05,15
I8P1,Aphidius_colemani,4757,0.800628789,0.2,15
I8P1,Bactrocera_tryoni,41034,6.906243794,0.01,15
I8P1,Bradysia_ocellaris,0,0,0,15
I8P1,Carpophilus_davidsoni,724,0.12185311,0.1,15
I8P1,Carpophilus_dimidiatus,1759,0.296049199,0.01,15
I8P1,Diuraphis_noxia,296,0.049818398,0.01,15
I8P1,Drosophila_hydeii,6069,1.021445474,0.01,15
I8P1,Drosophila_melanogaster,159702,26.87870903,0.5,15
I8P1,Drosophila_simulans,2831,0.476472588,0.01,15
I8P1,Lysiphlebus_testaceipes,428,0.072034711,0.05,15
I8P1,Metopolophium_dirhodum,2467,0.415209422,0.01,15
I8P1,Psyllid_sp,6510,1.095668156,0.01,15
I8P1,Rhopalosiphum_padi,2812,0.473274785,0.01,15
I8P1,Scaptodrosophila_lativittata,464,0.078093706,0.01,15
D8P1,Acizzia_alternata,8597,5.688028477,0.01,15
D8P1,Acizzia_solanicola,10148,6.714215771,0.05,15
D8P1,Aphidius_colemani,25940,17.16266822,0.2,15
D8P1,Bactrocera_tryoni,798,0.52798031,0.01,15
D8P1,Bradysia_ocellaris,0,0,0,15
D8P1,Carpophilus_davidsoni,1035,0.684786492,0.1,15
D8P1,Carpophilus_dimidiatus,7552,4.99662569,0.01,15
D8P1,Diuraphis_noxia,22,0.014555848,0.01,15
D8P1,Drosophila_hydeii,452,0.299056516,0.01,15
D8P1,Drosophila_melanogaster,92195,60.99892816,0.5,15
D8P1,Drosophila_simulans,777,0.514086091,0.01,15
D8P1,Lysiphlebus_testaceipes,1270,0.840269416,0.05,15
D8P1,Metopolophium_dirhodum,36,0.023818661,0.01,15
D8P1,Psyllid_sp,1279,0.846224081,0.01,15
D8P1,Rhopalosiphum_padi,185,0.12240145,0.01,15
D8P1,Scaptodrosophila_lativittata,856,0.566354819,0.01,15
PCRpool8P1,Acizzia_alternata,1947,1.001723561,0.01,15
PCRpool8P1,Acizzia_solanicola,10364,5.332235742,0.05,15
PCRpool8P1,Aphidius_colemani,59831,30.78280555,0.2,15
PCRpool8P1,Bactrocera_tryoni,973,0.500604533,0.01,15
PCRpool8P1,Bradysia_ocellaris,0,0,0,15
PCRpool8P1,Carpophilus_davidsoni,6360,3.272194068,0.1,15
PCRpool8P1,Carpophilus_dimidiatus,1956,1.006354025,0.01,15
PCRpool8P1,Diuraphis_noxia,1065,0.547938158,0.01,15
PCRpool8P1,Drosophila_hydeii,2251,1.158130322,0.01,15
PCRpool8P1,Drosophila_melanogaster,61216,31.4953824,0.5,15
PCRpool8P1,Drosophila_simulans,31460,16.18604173,0.01,15
PCRpool8P1,Lysiphlebus_testaceipes,7836,4.03159005,0.05,15
PCRpool8P1,Metopolophium_dirhodum,1288,0.662670748,0.01,15
PCRpool8P1,Psyllid_sp,2932,1.508502045,0.01,15
PCRpool8P1,Rhopalosiphum_padi,1855,0.954389936,0.01,15
PCRpool8P1,Scaptodrosophila_lativittata,3031,1.559437141,0.01,15
I1P2,Acizzia_alternata,276614,63.7825324,0.01,15
I1P2,Acizzia_solanicola,98450,22.70091288,0.1,15
I1P2,Aphidius_colemani,5261,1.213098046,0.36,15
I1P2,Bactrocera_tryoni,9883,2.278853448,0.01,15
I1P2,Bradysia_ocellaris,0,0,0,15
I1P2,Carpophilus_davidsoni,24347,5.614008389,0.25,15
I1P2,Carpophilus_dimidiatus,160,0.036893307,0.01,15
I1P2,Diuraphis_noxia,450,0.103762426,0.01,15
I1P2,Drosophila_hydeii,270,0.062257455,0.01,15
I1P2,Drosophila_melanogaster,2370,0.546482108,0.05,15
I1P2,Drosophila_simulans,616,0.142039231,0.01,15
I1P2,Lysiphlebus_testaceipes,1773,0.408823957,0.14,15
I1P2,Metopolophium_dirhodum,85,0.019599569,0.01,15
I1P2,Psyllid_sp,12181,2.808733568,0.01,15
I1P2,Rhopalosiphum_padi,1166,0.268859974,0.01,15
