Sample,Taxon,Observed,Count,Expected,Plate,Barcode,Mixture_type,Num_species,Table
I5P1,Acizzia_alternata,12.03079827,60423,0.00990099,1,13,Insects,16,above
I5P1,Acizzia_solanicola,70.0919488,352027,0.099009901,1,13,Insects,16,above
I5P1,Aphidius_colemani,3.426476796,17209,0.356435644,1,13,Insects,16,above
I5P1,Bactrocera_tryoni,8.996368241,45183,0.00990099,1,13,Insects,16,above
I5P1,Bradysia_ocellaris,0.181787048,913,0.00990099,1,13,Insects,16,above
I5P1,Carpophilus_davidsoni,1.045922634,5253,0.247524752,1,13,Insects,16,above
I5P1,Carpophilus_dimidiatus,0.092187736,463,0.00990099,1,13,Insects,16,above
I5P1,Diuraphis_noxia,0.043206779,217,0.00990099,1,13,Insects,16,above
I5P1,Drosophila_hydeii,0.080440271,404,0.00990099,1,13,Insects,16,above
I5P1,Drosophila_melanogaster,1.489339673,7480,0.04950495,1,13,Insects,16,above
I5P1,Drosophila_simulans,0.205281979,1031,0.00990099,1,13,Insects,16,above
I5P1,Lysiphlebus_testaceipes,0.930439076,4673,0.138613861,1,13,Insects,16,above
I5P1,Metopolophium_dirhodum,0.084223353,423,0.00990099,1,13,Insects,16,above
I5P1,Psyllid_sp,0.503149914,2527,0.00990099,1,13,Insects,16,above
I5P1,Rhopalosiphum_padi,0.65745984,3302,0.00990099,1,13,Insects,16,above
I5P1,Scaptodrosophila_lativittata,0.140969584,708,0.00990099,1,13,Insects,16,above
D5P1,Acizzia_alternata,7.780131279,13370,0.00990099,1,14,DNA,16,above
D5P1,Acizzia_solanicola,18.68860854,32116,0.099009901,1,14,DNA,16,above
D5P1,Aphidius_colemani,47.83355058,82201,0.356435644,1,14,DNA,16,above
D5P1,Bactrocera_tryoni,0.517899539,890,0.00990099,1,14,DNA,16,above
D5P1,Bradysia_ocellaris,0.31597691,543,0.00990099,1,14,DNA,16,above
D5P1,Carpophilus_davidsoni,2.731483637,4694,0.247524752,1,14,DNA,16,above
D5P1,Carpophilus_dimidiatus,7.205786509,12383,0.00990099,1,14,DNA,16,above
D5P1,Diuraphis_noxia,0.016875378,29,0.00990099,1,14,DNA,16,above
D5P1,Drosophila_hydeii,0.368930683,634,0.00990099,1,14,DNA,16,above
D5P1,Drosophila_melanogaster,7.995437829,13740,0.04950495,1,14,DNA,16,above
D5P1,Drosophila_simulans,0.680252316,1169,0.00990099,1,14,DNA,16,above
D5P1,Lysiphlebus_testaceipes,3.540337973,6084,0.138613861,1,14,DNA,16,above
D5P1,Metopolophium_dirhodum,0.02909548,50,0.00990099,1,14,DNA,16,above
D5P1,Psyllid_sp,1.254597086,2156,0.00990099,1,14,DNA,16,above
D5P1,Rhopalosiphum_padi,0.153624133,264,0.00990099,1,14,DNA,16,above
D5P1,Scaptodrosophila_lativittata,0.887412132,1525,0.00990099,1,14,DNA,16,above
PCRpool5P1,Acizzia_alternata,0.550871619,1082,0.00990099,1,15,PCR,16,above
PCRpool5P1,Acizzia_solanicola,9.505844738,18671,0.099009901,1,15,PCR,16,above
PCRpool5P1,Aphidius_colemani,48.88247393,96013,0.356435644,1,15,PCR,16,above
PCRpool5P1,Bactrocera_tryoni,0.441410068,867,0.00990099,1,15,PCR,16,above
PCRpool5P1,Bradysia_ocellaris,0.707172532,1389,0.00990099,1,15,PCR,16,above
PCRpool5P1,Carpophilus_davidsoni,8.145975888,16000,0.247524752,1,15,PCR,16,above
PCRpool5P1,Carpophilus_dimidiatus,0.838017269,1646,0.00990099,1,15,PCR,16,above
PCRpool5P1,Diuraphis_noxia,0.425118117,835,0.00990099,1,15,PCR,16,above
PCRpool5P1,Drosophila_hydeii,1.065086347,2092,0.00990099,1,15,PCR,16,above
PCRpool5P1,Drosophila_melanogaster,2.607730531,5122,0.04950495,1,15,PCR,16,above
PCRpool5P1,Drosophila_simulans,13.23619257,25998,0.00990099,1,15,PCR,16,above
PCRpool5P1,Lysiphlebus_testaceipes,9.444749919,18551,0.138613861,1,15,PCR,16,above
PCRpool5P1,Metopolophium_dirhodum,0.514723851,1011,0.00990099,1,15,PCR,16,above
PCRpool5P1,Psyllid_sp,1.357323232,2666,0.00990099,1,15,PCR,16,above
PCRpool5P1,Rhopalosiphum_padi,0.855327468,1680,0.00990099,1,15,PCR,16,above
PCRpool5P1,Scaptodrosophila_lativittata,1.421981916,2793,0.00990099,1,15,PCR,16,above
I6P1,Acizzia_alternata,0.491431066,2567,0.01,1,16,Insects,15,above
